StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Storm Paths,Storm Paths Explana ,Movie Budgets 1_1,Movie Budgets 1_2,Movie Budgets 1_3,Movie Budgets 1_4,Movie Budgets 2,Application Screenin,Banana Conclusions ,COVID Map - 1/2,COVID Map - 2/2,Attention Check 1/2,Disease Screening _1,Disease Screening _2,Disease Screening _3,Disease Screening _4,He Said She Said 1/3,He Said She Said 1/3_3_TEXT,He Said She Said 2/3,He Said She Said 2/3_3_TEXT,He Said She Said 3/3,He Said She Said 3/3_3_TEXT,Build-a-Plot,Realty Tree 1/2,Attention Check 2/2,Realty Tree 2/2,Website Testing 1/3,Website Testing 2/3,Website Testing 3/3,Image Recognition1/1,DataConfidentiali1/1,Activity Journal 1/1,Movie Wrangling 1/6,Movie Wrangling 2/6,Movie Wrangling 3/6,Movie Wrangling 4/6,Movie Wrangling 5/6,Movie Wrangling 6/6,Time_Spent,Consent
4/7/2023 12:16,4/7/2023 12:22,IP Address,12,367,FALSE,4/14/2023 12:22,,,,,,,anonymous,EN,9,City b,"B is directly in one of the paths. A is in the middle of many, but does not find itself directly on any.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2023 13:07,4/7/2023 13:08,IP Address,6,61,FALSE,4/14/2023 13:08,,,,,,,anonymous,EN,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2023 11:57,4/8/2023 12:02,IP Address,15,303,FALSE,4/15/2023 12:02,,,,,,,anonymous,EN,11,City b,"It is on a path, whereas A is not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2023 15:51,4/9/2023 9:49,IP Address,94,323861,FALSE,4/16/2023 9:49,,,,,,,anonymous,EN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2023 12:39,4/9/2023 22:02,IP Address,6,206574,FALSE,4/16/2023 22:02,,,,,,,anonymous,EN,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2023 11:43,4/10/2023 11:59,IP Address,32,949,FALSE,4/17/2023 11:59,,,,,,,anonymous,EN,14,City a,it sits in-between a larger number of the paths,Plot A,Plot D,Plot D,"Plot B,Plot C,Plot D",Horror,yeah 20 years of experience is a long time and most likely includes older people. this is discriminating against older people probably. ,questionnaires cannot be used to determine causality; it's very possible there is a 3rd unconsidered confounding variable where someone who is already inclined to score high also happens to eat bananas for whatever reason,the whole country experienced a dip then rise in covid cases,"no; the shading is in reference to the state's minimum point in 2021. without knowing the absolute number of that minimum point for both states, we cannot compare overall numbers of covid cases",I am passing this attention check,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2023 7:04,4/12/2023 7:05,IP Address,12,20,FALSE,4/19/2023 7:05,,,,,,,anonymous,EN,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2023 19:27,4/13/2023 19:27,IP Address,6,28,FALSE,4/20/2023 19:27,,,,,,,anonymous,EN,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2023 12:50,6/13/2023 12:55,IP Address,6,347,FALSE,6/20/2023 12:55,,,,,,,anonymous,EN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2024 10:04,2/25/2024 10:55,IP Address,100,3050,TRUE,2/25/2024 10:55,,,,,35.9145,-78.9225,anonymous,EN,fake data (EM),City a,"There are more simulated storm lines near City a. Therfore, I think that City a is more likely to be hit by the storm.",Plot A,Plot D,Plot D,Plot B,Horror,I do believe there are ethical concerns with the colleague's suggestion. Providing no opportunity to those with an abundence of experience is excluding part of the hiring pool on a variable that is not indicative of how qualified they are for the position.   ,This is misleading because correlation does not imply causation. ,It appears that the South region had more covid cases at the end of the rolling average. ,"It is hard to come to this conclusion without know the y-axis for KY and CA. If they are not on the same scale, we can not conclude this. If they are, it appears that Kentucky and CA are different.",I am passing this attention check,Plot A,Plot A,Plot B,Plot B,FALSE,,TRUE,,TRUE,,"County boundaries,Number of adults living in each county,Number of unemployed adults living in each county",Can't be determined from the information given.,"$262,972 ","$151,424 ",Valid,Cannot determine from this plot,Cannot determine from this plot,"There appears to be groups within these data that are classified as Sciences vs Not sciences. These photos may train a model to predict that those of color can not be in the sciences, causing me to have ethical concerns around the predictions. ",None of the above,"We would have a day, activity, stand goal, exercise goal, and move goal column. Each row is an observation of the individual. ","You could specify a group of months that corrospond to a given season. Then, generate the season information based on which month was identified in the release date column. You could do this by search for the specific month text strings. ",You could strip off the $ and the M text strings in the gross column to generate the gross clean column. ,"There is not enough information here. We have if a movie won best picture, but multiple pictures are nominated for the award, and we have no way of knowing if movies that did not win best picture were even nominated. ","This code would return the number movies that had ""Fall"" as their season input. ",Same question twice? ,Same question ?,~ 1 hour,"Yes, I agree to allow my responses to the assessment as research data."
2/29/2024 9:10,2/29/2024 9:25,IP Address,100,927,TRUE,2/29/2024 9:25,,,,,35.9145,-78.9225,anonymous,EN,fake-data-2,City b,I see one line going through it so I think it will hit that,"Plot A,Plot B",Plot C,Plot D,"Plot A,Plot D",Action,"I do not see any issues with this. If this is who the company is looking to hire, then they should be able to use an experience indicator variable to subset their hiring pool.","I don't think you can say that eating something, like bananas, leads to or causes higher test scores. Therfore, the title is misleading. ",The plot is hard to read. It looks like we learn that most states have some spikes of new cases closer to August versus January. ,"I'm not sure how to interpret the total number with no y-axis. However, KY has a higher density of cases than CA, so it may be plausible to make this conclusion if the y-axis is consistent across all states. ",I am passing this attention check,Plot A,Plot A,Plot B,"Plot B,Plot C",FALSE,,TRUE,,TRUE,,"County boundaries,Number of unemployed adults living in each county,Total population of the county",Can't be determined from the information given.,"$262,972 ","$151,424 ",Valid,Cannot determine from this plot,Cannot determine from this plot,These data may lead to model predictions that have a clear racial bias when predicting sciences vs non sciences. ,None of the above,"You would have the variables day, exercise, calories, stand goal, exercise goal, move goal, and date. 

Each row represents an activity log from this individual. ","I would categorize each month into 1 of the 4 seasons, and then use a case_when statement that would observe the release_date column, and fill in the correct season in the season column",I would remove the text strings of $ and M,No. Movies that did not win may have never been nominated in the first place.,This code would produce a frequency table that counted up the number of Fall seasons in the data set,This code would produce a frequency table that counted up the number of Fall seasons in the data set,This code would produce a frequency table that counted up the number of Fall seasons in the data set,45 minutes,"Yes, I agree to allow my responses to the assessment as research data."
2/29/2024 9:27,2/29/2024 9:40,IP Address,100,747,TRUE,2/29/2024 9:40,,,,,35.9145,-78.9225,anonymous,EN,fake-data-3,City a,"There are a lot more lines close to a, and the storm is not guarenteed to follow one of these lines. It is a higher chance of going through a.",Plot A,Plot D,Plot D,"Plot B,Plot D",Animation,I don't think it is ethical to exclude a part of the hiring population based on a variable of inexperience. This feels like unequal opportunity of empolyment. ,Correlation does not imply causation. That doesn't make sense.,"We learn that the sound seemingly had higher spikes than other regions, and most spikes happened in August. ",We can not conclude that. We have no way of knowing the baseline for each state. This graph is misleading. ,I am passing this attention check,"Plot A,Plot C","Plot A,Plot B","Plot B,Plot C","Plot B,Plot C",FALSE,,TRUE,,FALSE,,"County boundaries,Unemployment rate in each county,Number of adults living in each county,Number of unemployed adults living in each county,Total population of the county","$501,876 ","$262,972 ","$210,950 ",Invalid,Valid,Invalid,"These data make train the model to not include anyone of color in the sciences, which we know to be absurd. ",GPA and major,"Day, exercise, date, goals met

Each observation represents a day observed on this individual","I would categorize the months into specific seasons, and use matching to generale the season column",All you need to do is remove the $ and M,"Yes. I'm going to assume that if they were not nominated, that it would be represented by an NA. I don't think it makes sense to say they lost if they never had the chance to win. So, we could use the No and Yes values to indicate nominated. ","We would start with the movies table, subset it by the rows that had the value of Fall in the season column, and make a table counting them up","We would start with the movies table, subset it by the rows that had the value of Fall in the season column, and make a table counting them up","We would start with the movies table, subset it by the rows that had the value of Fall in the season column, and make a table counting them up",20 min,"Yes, I agree to allow my responses to the assessment as research data."
